# psi_n	Te [eV]	ne [m^-3]	 0+	1+	...
3.835175879396985343e-01	8.831242754457599631e+02	7.698903582017378125e+13	6.908406818208616828e-14	1.182306884953443449e-06	9.999988176930465489e-01
3.915075376884422642e-01	8.708901648793599861e+02	7.673326143837353125e+13	7.018313290316481969e-14	1.199874481289861040e-06	9.999988001254491721e-01
3.994974874371859941e-01	8.584959999999998672e+02	7.646187520000000000e+13	7.477565334481486728e-14	1.218152943919844873e-06	9.999987818469818768e-01
4.074874371859296684e-01	8.459474254233601869e+02	7.617431324699534375e+13	7.740555821311019281e-14	1.237190880545441723e-06	9.999987628090426517e-01
4.154773869346733983e-01	8.332501997977600467e+02	7.587001029986114062e+13	7.885789373739267753e-14	1.257041009946491549e-06	9.999987429589117793e-01
4.234673366834171282e-01	8.204101958041600255e+02	7.554840067454870312e+13	8.458873121158846491e-14	1.277760375290393611e-06	9.999987222395406716e-01
4.314572864321608581e-01	8.074334001561600189e+02	7.520891936094273438e+13	8.615882367027224003e-14	1.299410567100729058e-06	9.999987005893473668e-01
4.394472361809045879e-01	7.943259136000000353e+02	7.485100316537651562e+13	9.232143657060606273e-14	1.322058067500485560e-06	9.999986779418407190e-01
4.474371859296483178e-01	7.810939509145600823e+02	7.447409191966517188e+13	9.483358450450011049e-14	1.345774466123550569e-06	9.999986542254395427e-01
4.554271356783919922e-01	7.677438409113601665e+02	7.407762975918960938e+13	1.012709635851035897e-13	1.370636856385867262e-06	9.999986293630429568e-01
4.634170854271357221e-01	7.542820264345600663e+02	7.366106647261260938e+13	1.035083453387279810e-13	1.396728073122387776e-06	9.999986032718239937e-01
4.714070351758794519e-01	7.407150643609600138e+02	7.322385892585435938e+13	1.105345090913378743e-13	1.424137147454566603e-06	9.999985758627426558e-01
4.793969849246231818e-01	7.270496256000000130e+02	7.276547256300337500e+13	1.136354416972383361e-13	1.452959592840285547e-06	9.999985470402941168e-01
4.873869346733669117e-01	7.132924950937600670e+02	7.228538298688545312e+13	1.214466516791901360e-13	1.483297908498335829e-06	9.999985167019707077e-01
4.953768844221105860e-01	6.994505718169601778e+02	7.178307762206023438e+13	1.254503874488337568e-13	1.515261914659630122e-06	9.999984847379606023e-01
5.033668341708543714e-01	6.855308687769598919e+02	7.125805746306378125e+13	1.336933728569235794e-13	1.548968372127287403e-06	9.999984510314948727e-01
5.113567839195980458e-01	6.715405130137601191e+02	7.070983891076087500e+13	1.420148628879476039e-13	1.584538946971528647e-06	9.999984154609116160e-01
5.193467336683417201e-01	6.574867456000000630e+02	7.013795569972019531e+13	1.477064480506762903e-13	1.622102876757800730e-06	9.999983778969763204e-01
5.273366834170855055e-01	6.433769216409599494e+02	6.954196091957102344e+13	1.570877504913118652e-13	1.661798101270471713e-06	9.999983382017423317e-01
5.353266331658291799e-01	6.292185102745600034e+02	6.892142913334902344e+13	1.673326037842234855e-13	1.703771649977355811e-06	9.999982962281833698e-01
5.433165829145729653e-01	6.150190946713599942e+02	6.827595859588470312e+13	1.790690449128847169e-13	1.748180207996167217e-06	9.999982518196136594e-01
5.513065326633166396e-01	6.007863720345602587e+02	6.760517357533667969e+13	1.905307198612762916e-13	1.795190599763964716e-06	9.999982048092103115e-01
5.592964824120603140e-01	5.865281536000002234e+02	6.690872678101811719e+13	2.040727673174237652e-13	1.844980295050372314e-06	9.999981550195012892e-01
5.672864321608040994e-01	5.722523646361599958e+02	6.618630190071309375e+13	2.172615439703674813e-13	1.897737914955417114e-06	9.999981022618680271e-01
5.752763819095477738e-01	5.579670444441600239e+02	6.543761625072614844e+13	2.324914408196001214e-13	1.953663706261550522e-06	9.999980463360615968e-01
5.832663316582915591e-01	5.436803463577599587e+02	6.466242354195606250e+13	2.479961038491023928e-13	2.012970007319603085e-06	9.999979870297449613e-01
5.912562814070352335e-01	5.294005377433602462e+02	6.386051676533239062e+13	2.703306690738791282e-13	2.075881675625273387e-06	9.999979241180543266e-01
5.992462311557789079e-01	5.151359999999999673e+02	6.303173120000000781e+13	2.896035540042224902e-13	2.142636379082003346e-06	9.999978573633314660e-01
6.072361809045226932e-01	5.008952285593600209e+02	6.217594754768522656e+13	3.157848457527744172e-13	2.213484995600010564e-06	9.999977865146888467e-01
6.152261306532663676e-01	4.866868328857599977e+02	6.129309519672339844e+13	3.387474479610246678e-13	2.288726720361948766e-06	9.999977112729412365e-01
6.232160804020101530e-01	4.725195364761600558e+02	6.038315561927585156e+13	3.688147185448189379e-13	2.368844880777798428e-06	9.999976311547508212e-01
6.312060301507538274e-01	4.584021768601600115e+02	5.944616590531137500e+13	4.018259124886453290e-13	2.454410715995751358e-06	9.999975455888825415e-01
6.391959798994975017e-01	4.443437056000001917e+02	5.848222243697459375e+13	4.384483190874444066e-13	2.546042961334783996e-06	9.999974539566005571e-01
6.471859296482412871e-01	4.303531882905599559e+02	5.749148470701096875e+13	4.783679198494794638e-13	2.644411408455495275e-06	9.999973555881134235e-01
6.551758793969849615e-01	4.164398045593601978e+02	5.647417928496560156e+13	5.304164848548466108e-13	2.750240774609916494e-06	9.999972497586951947e-01
6.631658291457287469e-01	4.026128480665598772e+02	5.543060393492029688e+13	5.792856126313790814e-13	2.864314732362913718e-06	9.999971356846886206e-01
6.711557788944724212e-01	3.888817265049600564e+02	5.436113188858091406e+13	6.412650124379211669e-13	2.987480339599330152e-06	9.999970125190194015e-01
