# psi_n	Te [eV]	ne [m^-3]	 0+	1+	...
0.000000000000000000e+00	1.200000000000000000e+03	8.000000000000000000e+13	4.282371414351581331e-16	2.828840405042161616e-16	1.181497653464511680e-11	2.317174533192731463e-07	2.948346949410815716e-04	9.997049335757920430e-01
7.989949748743719465e-03	1.199851524751360103e+03	7.999999942656000000e+13	4.778878245001040293e-16	6.597411627903960044e-16	1.182410002005484297e-11	2.318376404769493821e-07	2.949294908099225790e-04	9.997048386597263692e-01
1.597989949748743893e-02	1.199406156021759898e+03	7.999999082496031250e+13	1.613647199610740888e-16	-3.349825600731552179e-16	1.184147810392065825e-11	2.321239782668574595e-07	2.951271896431465185e-04	9.997046406745393465e-01
2.396984924623115840e-02	1.198664064860159897e+03	7.999995355136770312e+13	5.709828552468775108e-16	-4.897950774343037526e-16	1.187393247078314420e-11	2.325775774331908148e-07	2.954284711977478981e-04	9.997043389393526214e-01
3.195979899497487786e-02	1.197625536348160040e+03	7.999985319943696875e+13	3.599674522208575504e-16	8.452394898503296154e-16	1.192078579432927839e-11	2.331999826458067293e-07	2.958342112710669121e-04	9.997039325768262152e-01
3.994974874371859386e-02	1.196290969599999926e+03	7.999964160045875000e+13	-3.972054645195669726e-16	1.210375675803884512e-15	1.197811261561553623e-11	2.339931829405977366e-07	2.963454875767598329e-04	9.997034205072632407e-01
4.793969849246231679e-02	1.194660877762559949e+03	7.999925682373253125e+13	3.537611168377393381e-16	9.007506410815874424e-16	1.204615772938507420e-11	2.349597058185407139e-07	2.969635867554768567e-04	9.997028014414932606e-01
5.592964824120603973e-02	1.192735888015359933e+03	7.999862317733020312e+13	1.365393784286011407e-16	-1.363658901823320200e-17	1.212602016616427012e-11	2.361025981090007566e-07	2.976900122615677691e-04	9.997020738730161282e-01
6.391959798994975572e-02	1.190516741570560043e+03	7.999765120946323438e+13	1.613647199610740888e-16	8.948901729152751172e-16	1.222317874117764753e-11	2.374254609701029943e-07	2.985264934624150485e-04	9.997012360688544153e-01
7.190954773869347172e-02	1.188004293672960102e+03	7.999623771071429688e+13	6.516652152274145675e-16	-1.129379551481239098e-16	1.233003174590695838e-11	2.389323777221843964e-07	2.994749957369094700e-04	9.997002860595566309e-01
7.989949748743718771e-02	1.185199513600000046e+03	7.999426571744051562e+13	4.096181352858034467e-16	1.005912475377790771e-15	1.245493779756814896e-11	2.406281150009679430e-07	3.005377322894527354e-04	9.996992216271413101e-01
8.788944723618091759e-02	1.182103484661759921e+03	7.999160451670417188e+13	4.344434768182763948e-16	9.504013241465329442e-16	1.259149522959704321e-11	2.425179700511979257e-07	3.017171767341738026e-04	9.996980402927051479e-01
9.587939698492463358e-02	1.178717404200960118e+03	7.998810965313270312e+13	3.289357753052663899e-16	1.470363965092278059e-16	1.274213438419609287e-11	2.446079474186878915e-07	3.030160776523397725e-04	9.996967393016596981e-01
1.038693467336683496e-01	1.175042583592959772e+03	7.998362293815832812e+13	3.227294399221481776e-16	1.537582115025118952e-15	1.291269430826108513e-11	2.469047762588327623e-07	3.044374744504652563e-04	9.996953156078607350e-01
1.118592964824120795e-01	1.171080448245759953e+03	7.997797246213423438e+13	4.468561475845128688e-16	-1.363658901823320200e-17	1.309299666503716584e-11	2.494158170251785169e-07	3.059847146915906069e-04	9.996937658564002405e-01
1.198492462311557955e-01	1.166832537600000023e+03	7.997097260987187500e+13	4.468561475845128688e-16	2.273728892729583345e-16	1.329498709319729736e-11	2.521493740301569639e-07	3.076614738975577863e-04	9.996920863634349841e-01
1.278391959798995114e-01	1.162300505128960140e+03	7.996242408019157812e+13	3.227294399221481776e-16	1.118875251423947495e-17	1.351292792241512346e-11	2.551144895484372014e-07	3.094717764471493246e-04	9.996902730955522509e-01
1.358291457286432413e-01	1.157486118338560118e+03	7.995211391012525000e+13	7.695855875066609971e-16	1.528968646755402791e-16	1.375171974112288684e-11	2.583211895201613164e-07	3.114200193180238752e-04	9.996883216457420618e-01
1.438190954773869434e-01	1.152391258767359886e+03	7.993981550445812500e+13	5.709828552468775108e-16	5.297539869617201219e-16	1.401003278440972939e-11	2.617804535261896858e-07	3.135109976677326869e-04	9.996862272078695932e-01
1.518090452261306733e-01	1.147017921986559941e+03	7.992528867134339062e+13	2.358407445584929085e-16	2.316121701129951290e-15	1.429275799497486226e-11	2.655043715959105107e-07	3.157499332122025979e-04	9.996839845481229059e-01
1.597989949748743754e-01	1.141368217600000207e+03	7.990827966477106250e+13	2.482534153247293825e-16	1.914439237311299090e-15	1.459257526954009996e-11	2.695061192806816647e-07	3.181425050252909459e-04	9.996815879742625421e-01
1.677889447236181053e-01	1.135444369244159816e+03	7.988852123471970312e+13	3.599674522208575504e-16	6.290553530916108297e-16	1.491520011910531322e-11	2.738002065826746885e-07	3.206948837345046321e-04	9.996790313011447715e-01
1.757788944723618352e-01	1.129248714588160055e+03	7.986573268586684375e+13	2.854914276234388540e-16	3.821854066341073624e-16	1.526499751390187551e-11	2.784025336793039942e-07	3.234137686606990440e-04	9.996763078135416647e-01
1.837688442211055373e-01	1.122783705333760054e+03	7.983961994578206250e+13	3.475547814546211750e-16	3.573600651016346608e-16	1.564141207819843488e-11	2.833304474997537437e-07	3.263064285030720579e-04	9.996734102254091203e-01
1.917587939698492672e-01	1.116051907215359961e+03	7.980987564357254688e+13	3.599674522208576490e-16	9.693661975126936657e-16	1.604919795109673117e-11	2.886029762476454603e-07	3.293807461938273707e-04	9.996703306347813900e-01
