# C I [m**-3]	 C II [m**-3]	 C III [m**-3]	 C IV [m**-3]	 C V [m**-3]	 C VI [m**-3]	 C VII [m**-3]	 
2.967278902207279801e+08	1.175752459512262344e+09	2.784456115886857510e+09	8.329722631809112549e+09	2.655510292054673340e+12	1.199856873281783500e+15	5.930168016676296960e+17
2.736836448016877174e+08	1.084279351618072510e+09	2.568192170923068047e+09	7.716628712903452873e+09	2.658797023568766113e+12	1.201485898662041750e+15	5.930094084650279680e+17
0.000000000000000000e+00	6.401839483252307446e+02	1.658724481763141739e+04	4.317900666962678432e+08	2.620922574390583008e+12	1.203281718963283750e+15	5.929996497121139200e+17
0.000000000000000000e+00	0.000000000000000000e+00	1.413685902977159276e+04	4.338359275904504061e+08	2.630302233996873535e+12	1.205418738442384750e+15	5.929865029481620480e+17
8.812603696405129135e+07	3.489338155185993314e+08	8.269442911003559828e+08	2.781178161245192051e+09	2.655828782113670410e+12	1.207866749509118000e+15	5.929691020196369920e+17
0.000000000000000000e+00	1.376880354939260997e+03	1.691875368304763106e+04	4.388302769575763345e+08	2.653030252997969727e+12	1.210573405486100500e+15	5.929463804304931840e+17
6.009724413433705457e+06	2.378239468512475491e+07	5.640446039917570353e+07	6.016479305615053177e+08	2.667638791286655273e+12	1.213642160703336750e+15	5.929167165201566720e+17
7.256867736564011872e+07	2.870929452879514098e+08	6.809320687424050570e+08	2.374673822874186039e+09	2.694147962670003418e+12	1.217089215815830000e+15	5.928782970335134720e+17
0.000000000000000000e+00	0.000000000000000000e+00	1.504757759507880291e+04	4.489433905051299334e+08	2.698937269391483398e+12	1.220883169547357000e+15	5.928289856333122560e+17
3.077683477327702194e+07	1.216697944895708263e+08	2.887888778653286695e+08	1.270910878477543831e+09	2.723163058233474121e+12	1.225121811379166750e+15	5.927659468607613440e+17
0.000000000000000000e+00	6.026188542189687496e+02	1.668026972710530026e+04	4.578462518764695525e+08	2.739072156313701660e+12	1.229785087630308500e+15	5.926859911535601920e+17
0.000000000000000000e+00	7.388587340035511488e+02	1.762769629567134325e+04	4.630608199951482415e+08	2.762476594978681641e+12	1.234928355473051000e+15	5.925851519218054400e+17
0.000000000000000000e+00	3.900872840441040807e+02	1.594797353795591880e+04	4.688367987872807980e+08	2.788341593367602539e+12	1.240571558303047250e+15	5.924587763794360320e+17
2.158087048582483232e+08	8.514735476845378876e+08	2.024723585362038612e+09	6.198888990761780739e+09	2.853631142327663574e+12	1.246807204433967250e+15	5.923012293975509760e+17
1.422093467419557869e+08	5.607440703483763933e+08	1.334183916043986559e+09	4.251826846865992069e+09	2.872506270719028320e+12	1.253516712817816750e+15	5.921062609560835840e+17
3.055574323486743569e+08	1.204035887441268921e+09	2.866589815102366924e+09	8.584500142709864616e+09	2.934938126324143066e+12	1.260883999485152250e+15	5.918659922259507200e+17
0.000000000000000000e+00	1.141290746297604983e+03	1.956884839198011832e+04	4.986764036288623810e+08	2.920425832289035645e+12	1.268730152415050000e+15	5.915719362562368000e+17
0.000000000000000000e+00	6.508906026808928118e+02	1.836640657134961293e+04	5.081092527337639332e+08	2.961721787754572266e+12	1.277311254618496750e+15	5.912134950150878720e+17
0.000000000000000000e+00	0.000000000000000000e+00	1.757557343865692746e+04	5.184704315573402047e+08	3.006824285573038086e+12	1.286564526583281750e+15	5.907791010080615680e+17
4.977359173752480745e+07	1.954923845455387533e+08	4.669117151523376703e+08	1.844470200394062281e+09	3.064607377396551270e+12	1.296530923652033000e+15	5.902553426591599360e+17
0.000000000000000000e+00	1.534804773842633722e+03	2.079272097221437070e+04	5.423230226718806028e+08	3.109577988848644531e+12	1.307190794501697750e+15	5.896271009840701440e+17
0.000000000000000000e+00	5.560498284712828081e+02	1.993372890665606974e+04	5.559819574667143822e+08	3.167843476293374512e+12	1.318611733265212750e+15	5.888771563199612160e+17
2.646614128860845566e+08	1.036206437788835526e+09	2.482383322368917465e+09	7.541461985344271660e+09	3.277302908349374023e+12	1.330879725220077750e+15	5.879861795540890880e+17
0.000000000000000000e+00	7.559077038327992568e+02	2.142023614407667992e+04	5.873171216527404785e+08	3.299856712012129883e+12	1.343774593441816500e+15	5.869331806861346560e+17
2.523238495924879313e+08	9.854399459646297693e+08	2.366506623632836819e+09	7.236268256816578865e+09	3.418710395573614746e+12	1.357628014633186250e+15	5.856939587251438080e+17
1.641284497110261321e+08	6.401169182242416143e+08	1.539292596798192263e+09	4.932967937240190506e+09	3.484061329546864746e+12	1.372193596998919000e+15	5.842429978445198080e+17
