# psi_n	Te [eV]	ne [m^-3]	 0+	1+	...
0.000000000000000000e+00	1.200000000000000000e+03	8.000000000000000000e+13	3.625973214694813226e-16	2.098647500308365284e-16	3.942408102915429187e-15	1.186003667558528808e-10	1.166859435839945951e-06	1.073470883893799495e-03	9.989253621380658199e-01
7.989949748743719465e-03	1.199851524751360103e+03	7.999999942656000000e+13	6.798699777552775046e-16	-5.163589369689027157e-16	3.064856111852725999e-15	1.186813959075035545e-10	1.167461246104980489e-06	1.073795736161326560e-03	9.989250366839084183e-01
1.597989949748743893e-02	1.199406156021759898e+03	7.999999082496031250e+13	4.532466518368516040e-16	-5.163589369689027157e-16	3.203633989930870566e-15	1.188897153802866573e-10	1.168952299663380558e-06	1.074526786565719368e-03	9.989243041422419811e-01
2.396984924623115840e-02	1.198664064860159897e+03	7.999995355136770312e+13	4.532466518368516533e-17	1.770159313914205814e-16	4.666267849977924896e-15	1.192270759902470270e-10	1.171338148437395754e-06	1.075666293355887404e-03	9.989231622492639184e-01
3.195979899497487786e-02	1.197625536348160040e+03	7.999985319943696875e+13	6.798699777552774800e-17	9.032396183911597269e-16	6.140564716776650119e-15	1.196913883882922561e-10	1.174626996107074321e-06	1.077217304905432171e-03	9.989216079484002364e-01
3.994974874371859386e-02	1.196290969599999926e+03	7.999964160045875000e+13	5.212336496123794136e-16	-1.141746807553700373e-15	1.372944202241258566e-15	1.202653661527269987e-10	1.178829705307958009e-06	1.079183677143379615e-03	9.989196373728853606e-01
4.793969849246231679e-02	1.194660877762559949e+03	7.999925682373253125e+13	2.719479911021109920e-16	-1.565463045308614855e-15	4.875696650682258322e-16	1.209826146638808151e-10	1.183960197688920002e-06	1.081570094947389158e-03	9.989172458238735341e-01
5.592964824120603973e-02	1.192735888015359933e+03	7.999862317733020312e+13	3.399349888776387523e-16	3.662117176770359426e-16	4.878864229207430452e-15	1.218470263466830271e-10	1.190035148112545118e-06	1.084382095832830441e-03	9.989144277471667666e-01
6.391959798994975572e-02	1.190516741570560043e+03	7.999765120946323438e+13	5.212336496123794136e-16	8.907637718468920123e-16	6.756206043903723264e-15	1.228428169735055892e-10	1.197074125503460495e-06	1.087626098020569917e-03	9.989111767050031787e-01
7.190954773869347172e-02	1.188004293672960102e+03	7.999623771071429688e+13	2.719479911021109920e-16	9.884244756832087434e-17	4.539152978651450828e-15	1.239682950799155127e-10	1.205099920396641216e-06	1.091309432652705054e-03	9.989074853434540824e-01
7.989949748743718771e-02	1.185199513600000046e+03	7.999426571744051562e+13	2.039609933265832317e-16	2.551894152145202886e-16	5.364586802480936438e-15	1.252476255933220738e-10	1.214138728202740760e-06	1.095440379798051124e-03	9.989033453562206066e-01
8.788944723618091759e-02	1.182103484661759921e+03	7.999160451670417188e+13	5.212336496123794136e-16	3.085544979279523408e-17	4.863360761814420381e-15	1.266743993321638877e-10	1.224220040319552417e-06	1.100028208268397610e-03	9.988987474450117254e-01
9.587939698492463358e-02	1.178717404200960118e+03	7.998810965313270312e+13	2.719479911021109920e-16	-1.744472345546656248e-15	8.950441750780819286e-16	1.282485714117183760e-10	1.235377037701806065e-06	1.105083220804041477e-03	9.988936812739104276e-01
1.038693467336683496e-01	1.175042583592959772e+03	7.998362293815832812e+13	3.625973214694813226e-16	1.047110739493091426e-15	7.193061809114404086e-15	1.300165852026154291e-10	1.247647003909040483e-06	1.110616804163665379e-03	9.988881354188076100e-01
1.118592964824120795e-01	1.171080448245759953e+03	7.997797246213423438e+13	4.985713170205368433e-16	8.125902880237923052e-16	6.337657628613144815e-15	1.319358466417363142e-10	1.261070882950193221e-06	1.116641482953452001e-03	9.988820973142203963e-01
1.198492462311557955e-01	1.166832537600000023e+03	7.997097260987187500e+13	5.892206473879070260e-16	1.645400848471527682e-16	5.684365023531617287e-15	1.340353883670268460e-10	1.275694386357352069e-06	1.123170981592447456e-03	9.988755531899795592e-01
1.278391959798995114e-01	1.162300505128960140e+03	7.996242408019157812e+13	8.385063058981753984e-16	4.874205061871256635e-16	5.940809547240710960e-15	1.363258822556863582e-10	1.291567835224888887e-06	1.130220290128257062e-03	9.988684880057034920e-01
1.358291457286432413e-01	1.157486118338560118e+03	7.995211391012525000e+13	5.892206473879070260e-16	1.291817677009964516e-15	7.944677131792529498e-15	1.388202119134641236e-10	1.308746611895427173e-06	1.137805737473691469e-03	9.988608853770842844e-01
1.438190954773869434e-01	1.152391258767359886e+03	7.993981550445812500e+13	8.158439733063328280e-16	-5.061724509213286488e-16	4.695790730006398839e-15	1.415108081740128083e-10	1.327291445798564421e-06	1.145945071274320423e-03	9.988527274957641477e-01
1.518090452261306733e-01	1.147017921986559941e+03	7.992528867134339062e+13	8.158439733063328280e-16	1.973889034865687151e-16	5.918072635208319094e-15	1.444383979375884346e-10	1.347269188537476537e-06	1.154657546052476579e-03	9.988439950403137368e-01
1.597989949748743754e-01	1.141368217600000207e+03	7.990827966477106250e+13	7.025323103471199763e-16	4.319093549558678365e-16	6.606943362015804884e-15	1.476007938156305589e-10	1.368752829939984877e-06	1.163964018152942011e-03	9.988346670814086670e-01
1.677889447236181053e-01	1.135444369244159816e+03	7.988852123471970312e+13	5.892206473879070260e-16	-1.219920291376799981e-15	3.008308382507220111e-15	1.510036647315328046e-10	1.391822289139747331e-06	1.173887050720728376e-03	9.988247209759844036e-01
1.757788944723618352e-01	1.129248714588160055e+03	7.986573268586684375e+13	8.385063058981753984e-16	-1.086235656322442546e-15	2.899500861100848809e-15	1.546858881409368832e-10	1.416565154967617546e-06	1.184451028088339374e-03	9.988141322520686094e-01
