# R [m]	 Z [m]
4.220735785953176888e-01	-2.046822742474916357e-01
4.237458193979932730e-01	-2.020066889632106955e-01
4.254180602006688572e-01	-1.993311036789297552e-01
4.270903010033444414e-01	-1.966555183946488428e-01
4.287625418060200255e-01	-1.939799331103679025e-01
4.304347826086956097e-01	-1.913043478260869623e-01
4.321070234113711939e-01	-1.886287625418060221e-01
4.337792642140467780e-01	-1.859531772575250819e-01
4.354515050167223622e-01	-1.832775919732441416e-01
4.371237458193979464e-01	-1.806020066889632014e-01
4.387959866220735305e-01	-1.779264214046822612e-01
4.404682274247491147e-01	-1.752508361204013210e-01
4.421404682274246989e-01	-1.725752508361204085e-01
4.438127090301002831e-01	-1.698996655518394683e-01
4.454849498327758672e-01	-1.672240802675585281e-01
4.471571906354514514e-01	-1.645484949832775878e-01
4.488294314381270356e-01	-1.618729096989966476e-01
4.505016722408026753e-01	-1.591973244147157074e-01
4.521739130434782594e-01	-1.565217391304347672e-01
4.538461538461538436e-01	-1.538461538461538547e-01
4.555183946488294278e-01	-1.511705685618729145e-01
4.571906354515050119e-01	-1.484949832775919742e-01
4.588628762541805961e-01	-1.458193979933110063e-01
4.605351170568561803e-01	-1.431438127090300938e-01
4.622073578595317644e-01	-1.404682274247491813e-01
4.638795986622073486e-01	-1.377926421404682134e-01
4.655518394648829328e-01	-1.351170568561873009e-01
4.672240802675585170e-01	-1.324414715719063329e-01
4.688963210702341011e-01	-1.297658862876254204e-01
4.705685618729096853e-01	-1.270903010033444525e-01
4.722408026755852695e-01	-1.244147157190635400e-01
4.739130434782608536e-01	-1.217391304347825720e-01
4.755852842809364378e-01	-1.190635451505016595e-01
4.772575250836120220e-01	-1.163879598662207471e-01
4.789297658862876061e-01	-1.137123745819397791e-01
4.806020066889631903e-01	-1.110367892976588666e-01
4.822742474916387745e-01	-1.083612040133778986e-01
4.839464882943143587e-01	-1.056856187290969862e-01
4.856187290969899428e-01	-1.030100334448160182e-01
4.872909698996655270e-01	-1.003344481605351057e-01
4.889632107023411112e-01	-9.765886287625419326e-02
4.906354515050166953e-01	-9.498327759197322528e-02
4.923076923076922795e-01	-9.230769230769231282e-02
4.939799331103679192e-01	-8.963210702341134484e-02
4.956521739130435034e-01	-8.695652173913043237e-02
4.973244147157190875e-01	-8.428093645484946439e-02
4.989966555183946717e-01	-8.160535117056855192e-02
5.006688963210702559e-01	-7.892976588628763945e-02
5.023411371237458400e-01	-7.625418060200667147e-02
5.040133779264214242e-01	-7.357859531772575901e-02
5.056856187290970084e-01	-7.090301003344479103e-02
5.073578595317725926e-01	-6.822742474916387856e-02
5.090301003344481767e-01	-6.555183946488291058e-02
5.107023411371237609e-01	-6.287625418060199811e-02
5.123745819397993451e-01	-6.020066889632103013e-02
