# psi 	 Te[eV] 	 ne [m**-3]
5.470126921921851211e-04	7.349218693478381965e+02	5.856186827793540710e+19
6.632527448760980023e-04	7.289136460283831411e+02	5.839430161477391155e+19
7.814621037853091432e-04	7.225774336053492561e+02	5.819975612603034829e+19
9.016056889129376401e-04	7.159080006086289814e+02	5.797498076582671974e+19
1.023644082727409328e-03	7.089010678534627914e+02	5.771655394160757965e+19
1.147533675039553178e-03	7.015533830666590802e+02	5.742092619303909786e+19
1.273230684319741476e-03	6.938625508804160518e+02	5.708446632554405069e+19
1.400691329038301729e-03	6.858270614824623408e+02	5.670352806486050406e+19
1.529871827665607196e-03	6.774463263221871330e+02	5.627453303882869965e+19
1.660728398671984518e-03	6.687207112818518908e+02	5.579407051891392512e+19
1.793217260527808690e-03	6.596515670696684310e+02	5.525901395873476608e+19
1.927294631703404615e-03	6.502412565932057760e+02	5.466665343026093261e+19
2.062916730669146857e-03	6.404931790745434910e+02	5.401484186809665946e+19
2.200039775895361403e-03	6.304117906730650702e+02	5.330215159562111386e+19
2.338619985852423248e-03	6.200026213875405574e+02	5.252803595938784870e+19
2.478613579010657299e-03	6.092722880164126309e+02	5.169298911257464832e+19
2.619976601881556302e-03	5.982285165206483271e+02	5.079869629853484646e+19
2.762662036604608164e-03	5.868803796641224153e+02	4.984818196510198989e+19
2.906620226729871373e-03	5.752382820361652875e+02	4.884590630335699354e+19
3.051801429602833161e-03	5.633137577082848111e+02	4.779779814335216026e+19
3.198155902569029332e-03	5.511194488549457446e+02	4.671124342281032499e+19
3.345633902973945382e-03	5.386690855069955433e+02	4.559500494792717926e+19
3.494185688163119283e-03	5.259774596631921213e+02	4.445906500545549926e+19
3.643761515482035231e-03	5.130603936816307851e+02	4.331438723204775936e+19
3.794311642276231196e-03	4.999347028989881210e+02	4.217259986666589389e+19
3.945786325891191375e-03	4.866181524537452674e+02	4.104560935473236378e+19
4.098135823672454173e-03	4.731294083198360454e+02	3.994516071949776486e+19
4.251310392965516362e-03	4.594879825901983850e+02	3.888236841330769920e+19
4.405260291115875582e-03	4.457141730855927335e+02	3.786724757036299059e+19
4.559935717140066284e-03	4.318290026463806726e+02	3.690828002981275238e+19
4.715286002658129749e-03	4.178542206437408595e+02	3.601205383648720486e+19
4.871259814306506085e-03	4.038122082007421909e+02	3.518299712475797094e+19
5.027805801773459898e-03	3.897258370026003718e+02	3.442323779156135936e+19
5.184872614747287022e-03	3.756183797643312232e+02	3.373261020661422899e+19
5.342408902916283286e-03	3.615134179756771005e+02	3.310880638293548237e+19
5.500363315968714167e-03	3.474347458871703225e+02	3.254765858319393997e+19
5.658684503592849475e-03	3.334062712995560673e+02	3.204352670884733338e+19
5.817321115476994584e-03	3.194519138014475743e+02	3.158975296330717184e+19
5.976221801309402823e-03	3.055955011833807475e+02	3.117914007077826970e+19
6.135335210778385638e-03	2.918606648362501232e+02	3.080440884201014886e+19
6.294609993572189421e-03	2.782707350131572639e+02	3.045859621561885901e+19
6.453994799379133424e-03	2.648486368890074232e+02	3.013536513450481664e+19
6.613438258415494861e-03	2.516167899877313516e+02	2.982921095747657728e+19
6.772888756525787674e-03	2.385970268088998125e+02	2.953556344057892864e+19
6.932294512899239876e-03	2.258104890265927338e+02	2.925079447766689792e+19
7.091603743513915509e-03	2.132775218984639025e+02	2.897215222621794304e+19
7.250764664347810959e-03	2.010175875513035066e+02	2.869764662739992986e+19
7.409725491378985930e-03	1.890491843617980976e+02	2.842591067739983462e+19
7.568434440585444616e-03	1.773897725181089982e+02	2.815605857356466995e+19
7.726839727945244117e-03	1.660557058920132931e+02	2.788755611098942259e+19
