# psi_n	Te [eV]	ne [m^-3]	 0+	1+	...
0.000000000000000000e+00	1.200000000000000000e+03	8.000000000000000000e+13	7.801365059637803650e+10	9.999999908324073150e-01
7.989949748743719465e-03	1.199851524751360103e+03	7.999999942656000000e+13	8.586387694230323792e+10	9.999999908319496811e-01
1.597989949748743893e-02	1.199406156021759898e+03	7.999999082496031250e+13	9.450404265411047363e+10	9.999999908305754470e-01
2.396984924623115840e-02	1.198664064860159897e+03	7.999995355136770312e+13	1.040136364209504852e+11	9.999999908282832806e-01
3.195979899497487786e-02	1.197625536348160040e+03	7.999985319943696875e+13	1.144801455860162506e+11	9.999999887866105608e-01
3.994974874371859386e-02	1.196290969599999926e+03	7.999964160045875000e+13	1.259998610216429138e+11	9.999999887832314860e-01
4.793969849246231679e-02	1.194660877762559949e+03	7.999925682373253125e+13	1.386787629960229797e+11	9.999999887790865793e-01
5.592964824120603973e-02	1.192735888015359933e+03	7.999862317733020312e+13	1.526334961814255371e+11	9.999999887741670701e-01
6.391959798994975572e-02	1.190516741570560043e+03	7.999765120946323438e+13	1.679924427739049683e+11	9.999999887684630773e-01
7.190954773869347172e-02	1.188004293672960102e+03	7.999623771071429688e+13	1.848969035970889893e+11	9.999999887619619443e-01
7.989949748743718771e-02	1.185199513600000046e+03	7.999426571744051562e+13	2.035023980560961609e+11	9.999999887546499044e-01
8.788944723618091759e-02	1.182103484661759921e+03	7.999160451670417188e+13	2.239800949010261841e+11	9.999999887465108594e-01
9.587939698492463358e-02	1.178717404200960118e+03	7.998810965313270312e+13	2.465183869629087524e+11	9.999999887375278229e-01
1.038693467336683496e-01	1.175042583592959772e+03	7.998362293815832812e+13	2.713246243495372314e+11	9.999999887276816990e-01
1.118592964824120795e-01	1.171080448245759953e+03	7.997797246213423438e+13	2.986270220464075317e+11	9.999999887169517265e-01
1.198492462311557955e-01	1.166832537600000023e+03	7.997097260987187500e+13	3.286767594725226440e+11	9.999999887053143688e-01
1.278391959798995114e-01	1.162300505128960140e+03	7.996242408019157812e+13	3.617502913067617798e+11	9.999999886927452009e-01
1.358291457286432413e-01	1.157486118338560118e+03	7.995211391012525000e+13	3.981518908441940308e+11	9.999999886792175774e-01
1.438190954773869434e-01	1.152391258767359886e+03	7.993981550445812500e+13	4.382164492809719238e+11	9.999999886647015224e-01
1.518090452261306733e-01	1.147017921986559941e+03	7.992528867134339062e+13	4.823125566809631348e+11	9.999999886491677259e-01
1.597989949748743754e-01	1.141368217600000207e+03	7.990827966477106250e+13	5.308458929686916504e+11	9.999999886325812160e-01
1.677889447236181053e-01	1.135444369244159816e+03	7.988852123471970312e+13	5.842629601454260254e+11	9.999999886149074646e-01
1.757788944723618352e-01	1.129248714588160055e+03	7.986573268586684375e+13	6.430551900644154053e+11	9.999999885961081691e-01
1.837688442211055373e-01	1.122783705333760054e+03	7.983961994578206250e+13	7.077634655564211426e+11	9.999999885761448049e-01
1.917587939698492672e-01	1.116051907215359961e+03	7.980987564357254688e+13	7.789830964994743652e+11	9.999999885549720746e-01
1.997487437185929970e-01	1.109056000000000040e+03	7.977617920000000000e+13	8.573692966121807861e+11	9.999999885325476789e-01
2.077386934673366992e-01	1.101798777487359985e+03	7.973819693013382812e+13	9.436432113565931396e+11	9.999999885088214358e-01
2.157286432160804290e-01	1.094283147509760056e+03	7.969558215965365625e+13	1.038598552406727905e+12	9.999999884837433850e-01
2.237185929648241589e-01	1.086512131932159946e+03	7.964797535596117188e+13	1.143108899719220459e+12	9.999999884572603470e-01
2.317085427135678610e-01	1.078488866652160141e+03	7.959500427530864062e+13	1.258135738384478516e+12	9.999999884293154784e-01
2.396984924623115909e-01	1.070216601599999876e+03	7.953628412719923438e+13	1.384737304196529541e+12	9.999999883998489381e-01
2.476884422110552930e-01	1.061698700738560092e+03	7.947141775736117188e+13	1.524078319320025391e+12	9.999999883687991087e-01
2.556783919597990229e-01	1.052938642063360021e+03	7.939999585064515625e+13	1.677440707621530518e+12	9.999999883360983777e-01
2.636683417085427528e-01	1.043940017602560147e+03	7.932159715524207812e+13	1.846235388245142822e+12	9.999999883016779112e-01
2.716582914572864826e-01	1.034706533416959928e+03	7.923578872966517188e+13	2.032015255932226074e+12	9.999999882654644345e-01
2.796482412060301570e-01	1.025242009600000074e+03	7.914212621398834375e+13	2.236489467502853027e+12	9.999999882273810092e-01
2.876381909547738869e-01	1.015550380277760041e+03	7.904015412687940625e+13	2.461539165933325195e+12	9.999999881873469221e-01
2.956281407035176167e-01	1.005635693608959969e+03	7.892940619001457812e+13	2.709234786689650391e+12	9.999999881452780182e-01
3.036180904522613466e-01	9.955021117849598795e+02	7.880940568150814062e+13	2.981855105533634277e+12	9.999999881010838143e-01
3.116080402010050765e-01	9.851539110297600246e+02	7.867966582003779688e+13	3.281908203039604004e+12	9.999999880546650566e-01
3.195979899497487509e-01	9.745954816000001983e+02	7.853969018139442188e+13	3.612154538693138672e+12	9.999999880059057267e-01
3.275879396984924807e-01	9.638313277849599672e+02	7.838897314923190625e+13	3.975632346851479980e+12	9.999999879546828119e-01
3.355778894472362106e-01	9.528660679065599197e+02	7.822700040183978125e+13	4.375685588205827148e+12	9.999999879008658610e-01
3.435678391959799405e-01	9.417044343193600753e+02	7.805324943680959375e+13	4.815994713896359375e+12	9.999999878443147638e-01
3.515577889447236704e-01	9.303512734105599975e+02	7.786719013551234375e+13	5.300610525306945312e+12	9.999999877848810836e-01
3.595477386934674002e-01	9.188115455999999313e+02	7.766828536935218750e+13	5.833991441046121094e+12	9.999999858484630577e-01
